emotion1,emotion2,similarity
inspiration,neutral,3.4333333333333336
joy,disgust,1.0083333333333333
fear,disgust,6.991666666666667
joy,anger,1.0
tenderness,sadness,3.7666666666666666
inspiration,anger,1.0
neutral,disgust,4.458333333333334
amusement,disgust,1.0166666666666666
joy,inspiration,7.608333333333333
sadness,disgust,5.683333333333334
tenderness,anger,1.0
inspiration,disgust,1.3916666666666666
joy,neutral,4.983333333333333
amusement,anger,1.0
tenderness,fear,3.35
neutral,anger,5.033333333333333
neutral,fear,4.958333333333334
inspiration,fear,2.3666666666666667
tenderness,joy,6.608333333333333
joy,sadness,1.0083333333333333
tenderness,inspiration,6.191666666666666
joy,fear,1.0
tenderness,disgust,1.0
sadness,fear,5.683333333333334
fear,anger,6.991666666666667
inspiration,sadness,2.225
amusement,neutral,4.983333333333333
sadness,anger,7.216666666666667
amusement,fear,1.0
joy,amusement,7.408333333333333
inspiration,amusement,7.591666666666667
tenderness,neutral,5.0
neutral,sadness,5.0
disgust,anger,7.616666666666667
tenderness,amusement,7.366666666666667
amusement,sadness,1.1666666666666665
