emotion1,emotion2,similarity
tenderness,sadness,1.9583333333333335
neutral,sadness,3.041666666666667
amusement,disgust,1.0083333333333333
tenderness,amusement,3.9916666666666667
tenderness,inspiration,6.091666666666667
joy,fear,1.0750000000000002
neutral,anger,2.966666666666667
inspiration,neutral,2.966666666666667
tenderness,disgust,1.0
inspiration,anger,2.1
joy,neutral,2.925
tenderness,neutral,2.9833333333333334
tenderness,fear,1.0333333333333332
fear,disgust,3.0
joy,anger,1.0083333333333333
amusement,anger,1.0916666666666668
inspiration,fear,1.0499999999999998
amusement,sadness,1.0833333333333335
amusement,fear,1.0416666666666665
neutral,disgust,2.933333333333333
sadness,anger,3.5666666666666664
joy,inspiration,4.333333333333334
sadness,disgust,2.691666666666667
sadness,fear,2.4
joy,amusement,4.466666666666667
disgust,anger,2.25
inspiration,amusement,1.875
amusement,neutral,3.0166666666666666
tenderness,joy,3.7666666666666666
neutral,fear,3.125
joy,disgust,1.0833333333333335
inspiration,disgust,1.0499999999999998
inspiration,sadness,1.0
tenderness,anger,1.0
joy,sadness,1.0583333333333331
fear,anger,2.325
